iter	Passed	Remaining
737	1664	590
738	1665	588
739	1667	585
740	1670	584
741	1673	581
742	1674	579
743	1676	576
744	1677	574
745	1679	571
746	1680	569
747	1681	566
748	1683	564
749	1687	562
750	1689	560
751	1690	557
752	1692	555
753	1693	552
754	1695	550
755	1696	547
756	1697	545
757	1702	543
758	1703	540
759	1705	538
760	1706	535
761	1708	533
762	1709	530
763	1711	528
764	1712	526
765	1716	524
766	1718	521
767	1719	519
768	1721	516
769	1722	514
770	1723	511
771	1725	509
772	1726	507
773	1728	504
774	1731	502
775	1733	500
776	1735	498
777	1736	495
778	1738	493
779	1740	490
780	1741	488
781	1746	486
782	1747	484
783	1749	482
784	1751	479
785	1752	477
786	1754	474
787	1756	472
788	1759	470
789	1762	468
790	1763	466
791	1765	463
792	1766	461
793	1767	458
794	1769	456
795	1770	453
796	1772	451
797	1777	449
798	1778	447
799	1780	445
800	1782	442
801	1783	440
802	1785	438
803	1787	435
804	1790	433
805	1792	431
806	1793	429
807	1795	426
808	1797	424
809	1799	422
810	1800	419
811	1802	417
812	1807	415
813	1808	413
814	1810	410
815	1812	408
816	1813	406
817	1814	403
818	1816	401
819	1819	399
820	1821	397
821	1823	394
822	1824	392
823	1826	390
824	1828	387
825	1829	385
826	1832	383
827	1835	381
828	1837	379
829	1839	376
830	1841	374
831	1842	372
832	1845	370
833	1854	369
834	1856	366
835	1857	364
836	1859	362
837	1861	359
838	1866	358
839	1868	355
840	1869	353
841	1871	351
842	1874	349
843	1875	346
844	1882	345
845	1883	342
846	1885	340
847	1887	338
848	1891	336
849	1893	334
850	1895	331
851	1896	329
852	1901	327
853	1905	325
854	1906	323
855	1908	321
856	1910	318
857	1912	316
858	1918	314
859	1920	312
860	1922	310
861	1923	308
862	1925	305
863	1926	303
864	1931	301
865	1933	299
866	1935	296
867	1937	294
868	1938	292
869	1940	289
870	1942	287
871	1946	285
872	1947	283
873	1949	281
874	1950	278
875	1953	276
876	1957	274
877	1959	272
878	1961	269
879	1962	267
880	1964	265
881	1965	263
882	1967	260
883	1971	258
884	1973	256
885	1974	254
886	1976	251
887	1977	249
888	1979	247
889	1980	244
890	1985	242
891	1987	240
892	1988	238
893	1990	235
894	1991	233
895	1993	231
896	1994	229
897	1995	226
898	1999	224
899	2001	222
900	2003	220
901	2004	217
902	2006	215
903	2008	213
904	2010	211
905	2013	208
906	2016	206
907	2017	204
908	2019	202
909	2020	199
910	2022	197
911	2023	195
912	2024	192
913	2029	190
914	2031	188
915	2032	186
916	2034	184
917	2036	181
918	2037	179
919	2039	177
920	2040	175
921	2044	172
922	2045	170
923	2047	168
924	2048	166
925	2049	163
926	2051	161
927	2052	159
928	2054	157
929	2057	154
930	2059	152
931	2061	150
932	2062	148
933	2064	145
934	2065	143
935	2066	141
936	2068	139
937	2069	136
938	2071	134
939	2072	132
940	2074	130
941	2075	127
942	2077	125
943	2078	123
944	2080	121
945	2081	118
946	2083	116
947	2086	114
948	2088	112
949	2089	109
950	2091	107
951	2093	105
952	2095	103
953	2097	101
954	2098	98
955	2102	96
956	2104	94
957	2106	92
958	2108	90
959	2111	87
960	2113	85
961	2116	83
962	2120	81
963	2122	79
964	2124	77
965	2126	74
966	2128	72
967	2136	70
968	2137	68
969	2139	66
970	2141	63
971	2147	61
972	2152	59
973	2153	57
974	2155	55
975	2157	53
976	2164	50
977	2166	48
978	2168	46
979	2170	44
980	2172	42
981	2180	39
982	2182	37
983	2183	35
984	2185	33
985	2187	31
986	2192	28
987	2196	26
988	2197	24
989	2199	22
990	2201	19
991	2202	17
992	2204	15
993	2207	13
994	2208	11
995	2210	8
996	2211	6
997	2213	4
998	2214	2
999	2216	0
